"","fuel_type","fuel_type_num","transect","Community","site","site_num","fuel_site","fuel_site_num","datalogger","point_id","date","time","moisture"
"1","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,16,2019-11-21,-30,161.565836298932
"2","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,17,2019-11-21,-30,159.751037344398
"3","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,18,2019-11-21,-30,162.093862815885
"4","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,19,2019-11-21,-30,149.425287356322
"5","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,20,2019-11-21,-30,156.744186046512
"6","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,16,2019-12-06,-15,260.377358490566
"7","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,17,2019-12-06,-15,156.06936416185
"8","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,18,2019-12-06,-15,210.948905109489
"9","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,19,2019-12-06,-15,134.63687150838
"10","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,20,2019-12-06,-15,129.017857142857
"11","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,16,2019-12-22,1,180.365296803653
"12","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,17,2019-12-22,1,143.783783783784
"13","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,18,2019-12-22,1,266.326530612245
"14","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,19,2019-12-22,1,148.771929824561
"15","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,20,2019-12-22,1,198.190045248869
"16","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,16,2020-01-04,14,178.947368421053
"17","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,17,2020-01-04,14,186.341463414634
"18","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,18,2020-01-04,14,248.695652173913
"19","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,19,2020-01-04,14,197.590361445783
"20","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,20,2020-01-04,14,356.565656565656
"21","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,16,2020-01-16,26,177.272727272727
"22","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,17,2020-01-16,26,155.232558139535
"23","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,18,2020-01-16,26,308.080808080808
"24","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,19,2020-01-16,26,172.307692307692
"25","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,20,2020-01-16,26,178.902953586498
"26","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,16,2020-01-30,40,184.729064039409
"27","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,17,2020-01-30,40,151.869158878505
"28","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,18,2020-01-30,40,344.444444444444
"29","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,19,2020-01-30,40,143.84236453202
"30","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,20,2020-01-30,40,190.751445086705
"31","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,16,2020-02-19,60,199.032258064516
"32","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,17,2020-02-19,60,141.798941798942
"33","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,18,2020-02-19,60,238.211382113821
"34","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,19,2020-02-19,60,146.408839779006
"35","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,20,2020-02-19,60,206.986899563319
"36","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,16,2020-02-27,68,234.123222748815
"37","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,17,2020-02-27,68,141.121495327103
"38","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,18,2020-02-27,68,219.736842105263
"39","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,19,2020-02-27,68,134.661354581673
"40","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,20,2020-02-27,68,121.016949152542
"41","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,16,2020-03-15,85,150.442477876106
"42","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,17,2020-03-15,85,134.684684684685
"43","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,18,2020-03-15,85,150.943396226415
"44","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,19,2020-03-15,85,131.329113924051
"45","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,20,2020-03-15,85,122.372881355932
"135","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,11,2019-11-21,-30,160.26936026936
"136","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,12,2019-11-21,-30,202.671755725191
"137","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,13,2019-11-21,-30,111.855670103093
"138","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,14,2019-11-21,-30,114.801444043321
"139","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,15,2019-11-21,-30,115.986394557823
"140","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,11,2019-12-06,-15,107.920792079208
