"","transect","U forest","B forest +reg","B forest -reg","B shrubland","thres","data_type"
"1","t1",0,0,55.5555555555556,55.5555555555556,"7","below threshold"
"2","t2",0,33.3333333333333,100,77.7777777777778,"7","below threshold"
"3","t3",0,22.2222222222222,NA,NA,"7","below threshold"
"4","t1",88.8888888888889,77.7777777777778,100,100,"16","below threshold"
"5","t2",55.5555555555556,88.8888888888889,100,100,"16","below threshold"
"6","t3",66.6666666666667,88.8888888888889,NA,NA,"16","below threshold"
"7","t1",22.2222222222222,11.1111111111111,88.8888888888889,88.8888888888889,"9.85","below threshold"
"8","t2",11.1111111111111,66.6666666666667,100,100,"9.85","below threshold"
"9","t3",22.2222222222222,77.7777777777778,NA,NA,"9.85","below threshold"
"10","t1",88.8888888888889,88.8888888888889,100,100,"23.75","below threshold"
"11","t2",88.8888888888889,100,100,100,"23.75","below threshold"
"12","t3",88.8888888888889,88.8888888888889,NA,NA,"23.75","below threshold"
"13","t1",NA,0,0,0,"7; 16","contrast"
"14","t2",NA,11.1111111111111,44.4444444444444,33.3333333333333,"7; 16","contrast"
"15","t3",NA,0,NA,NA,"7; 16","contrast"
"16","t1",NA,0,11.1111111111111,0,"9.85; 23.75","contrast"
"17","t2",NA,0,11.1111111111111,11.1111111111111,"9.85; 23.75","contrast"
"18","t3",NA,0,NA,NA,"9.85; 23.75","contrast"
