transect,Community,canopy_cover
T1,Closed shrubland,26
T1,Closed shrubland,26
T1,Closed shrubland,0
T1,Closed shrubland,12
T1,Closed shrubland,2
T1,Closed shrubland,70
T1,Closed shrubland,4
T1,Closed shrubland,78
T1,Closed shrubland,75
T1,Closed shrubland,83
T1,Closed shrubland,63
T1,Closed shrubland,65
T1,Closed shrubland,77
T1,Closed shrubland,41
T1,Closed shrubland,0
T1,Closed shrubland,15
T1,Closed shrubland,0
T1,Closed shrubland,29
T1,Closed shrubland,60
T1,Closed shrubland,13
T1,Closed shrubland,2
T1,Closed shrubland,4
T1,Closed shrubland,17
T1,Closed shrubland,1
T1,Closed shrubland,19
T1,Closed shrubland,3
T1,Closed shrubland,9
T1,Closed shrubland,46
T1,Closed shrubland,0
T1,Closed shrubland,3
T1,Open shrubland,0
T1,Open shrubland,0
T1,Open shrubland,0
T1,Open shrubland,0
T1,Open shrubland,0
T1,Open shrubland,0
T1,Open shrubland,3
T1,Open shrubland,0
T1,Open shrubland,1
T1,Open shrubland,8
T1,Open shrubland,3
T1,Open shrubland,0
T1,Open shrubland,2
T1,Open shrubland,0
T1,Open shrubland,0
T1,Open shrubland,0
T1,Open shrubland,0
T1,Open shrubland,0
T1,Open shrubland,44
T1,Open shrubland,0
T1,Open shrubland,31
T1,Open shrubland,14
T1,Open shrubland,24
T1,Open shrubland,0
T1,Open shrubland,0
T1,Open shrubland,0
T1,Open shrubland,0
T1,Open shrubland,14
T1,Open shrubland,0
T1,Open shrubland,25
T1,Young forest,57
T1,Young forest,71
T1,Young forest,66
T1,Young forest,61
T1,Young forest,55
T1,Young forest,62
T1,Young forest,67
T1,Young forest,26
T1,Young forest,1
T1,Young forest,2
T1,Young forest,35
T1,Young forest,12
T1,Young forest,10
T1,Young forest,28
T1,Young forest,33
T1,Young forest,83
T1,Young forest,44
T1,Young forest,85
T1,Young forest,84
T1,Young forest,80
T1,Young forest,82
T1,Young forest,76
T1,Young forest,82
T1,Young forest,82
T1,Young forest,85
T1,Young forest,53
T1,Young forest,12
T1,Young forest,39
T1,Young forest,25
T1,Young forest,20
T1,Young forest,39
T1,Mature forest,64
T1,Mature forest,70
T1,Mature forest,71
T1,Mature forest,76
T1,Mature forest,71
T1,Mature forest,70
T1,Mature forest,76
T1,Mature forest,72
T1,Mature forest,73
T1,Mature forest,65
T1,Mature forest,76
T1,Mature forest,75
T1,Mature forest,69
T1,Mature forest,77
T1,Mature forest,75
T1,Mature forest,73
T1,Mature forest,79
T1,Mature forest,82
T1,Mature forest,81
T1,Mature forest,82
T1,Mature forest,70
T1,Mature forest,72
T1,Mature forest,76
T1,Mature forest,82
T1,Mature forest,81
T1,Mature forest,82
T1,Mature forest,79
T1,Mature forest,73
T1,Mature forest,72
T1,Mature forest,68
T2,Closed shrubland,4
T2,Closed shrubland,20
T2,Closed shrubland,0
T2,Closed shrubland,29
T2,Closed shrubland,62
T2,Closed shrubland,62
T2,Closed shrubland,15
T2,Closed shrubland,2
T2,Closed shrubland,8
T2,Closed shrubland,62
T2,Closed shrubland,20
T2,Closed shrubland,31
T2,Closed shrubland,42
T2,Closed shrubland,67
T2,Closed shrubland,35
T2,Closed shrubland,35
T2,Closed shrubland,41
T2,Closed shrubland,0
T2,Closed shrubland,0
T2,Closed shrubland,35
T2,Closed shrubland,65
T2,Closed shrubland,48
T2,Closed shrubland,1
T2,Closed shrubland,14
T2,Closed shrubland,29
T2,Closed shrubland,66
T2,Closed shrubland,26
T2,Closed shrubland,13
T2,Closed shrubland,0
T2,Closed shrubland,0
T2,Open shrubland,0
T2,Open shrubland,0
T2,Open shrubland,0
T2,Open shrubland,7
T2,Open shrubland,6
T2,Open shrubland,13
T2,Open shrubland,1
T2,Open shrubland,17
T2,Open shrubland,0
T2,Open shrubland,2
T2,Open shrubland,0
T2,Open shrubland,0
T2,Open shrubland,28
T2,Open shrubland,1
T2,Open shrubland,5
T2,Open shrubland,7
T2,Open shrubland,34
T2,Open shrubland,1
T2,Open shrubland,0
T2,Open shrubland,0
T2,Open shrubland,0
T2,Open shrubland,0
T2,Open shrubland,5
T2,Open shrubland,0
