site,transect,comm_details,Community,extra,Punto_ori,Impar,Punto_edit,point_id,prof_mantillo_cm,cob_mantillo_percent,alt_max_arb_int/m,muer_alt_max,alt_base_copa_m,vivo_interc,muerto_interc,sp_code_raw,sp_name,sp_code,OBS
Coihual no regenerado / 4,4,Coihual no regenerado,Coihual no regenerado,0,37,NA,37,207,1,10,6,NA,NA,4,3,ADESMIA,Adesmia sp.,Ades,NA
Coihual no regenerado / 4,4,Coihual no regenerado,Coihual no regenerado,0,44,NA,44,214,NA,NA,NA,NA,NA,2,0,ADESMIA,Adesmia sp.,Ades,CUANDO SOLO HAY HERB// Y PONGO ALTMAX = 1// ES PORQUE ERA HERB
Coihual regenerando / 4,4,Coihual regenerado,Coihual regenerando,0,12,0,12,326,NA,NA,NA,NA,NA,1,0,BACARIS,Bacaris sp.,Bac,NA
Matorral / 2,2,Matorral_extra,Matorral,1,6,NA,44,492,NA,NA,NA,NA,NA,1<2,0,BACARIS,Bacaris sp.,Bac,NA
Matorral / 2,2,Matorral_extra,Matorral,1,NA,NA,46,494,NA,NA,NA,NA,NA,3,0,BACARIS,Bacaris sp.,Bac,NA
Matorral / 2,2,Matorral_extra,Matorral,1,NA,NA,48,496,NA,NA,NA,NA,NA,2<3,0,BACARIS,Bacaris sp.,Bac,NA
Matorral / 2,2,Matorral_extra,Matorral,1,11,NA,49,497,NA,NA,NA,NA,NA,1,0,BACARIS,Bacaris sp.,Bac,NA
Matorral / 2,2,Matorral_extra,Matorral,1,12,NA,50,498,NA,NA,NA,NA,NA,2<3,1<2<3,BACARIS,Bacaris sp.,Bac,NA
Matorral / 4,4,Matorral,Matorral,0,NA,NA,3,409,NA,NA,NA,NA,NA,0,3,BACARIS,Bacaris sp.,Bac,NA
Bosque no quemado / 4,4,Bosque de coihue,Bosque no quemado,0,NA,NA,6,6,NA,NA,NA,NA,NA,2,0,BERB,Berberis microphylla,Bm,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,NA,NA,15,102,NA,NA,NA,NA,NA,0,2,BERB,Berberis microphylla,Bm,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,22,NA,22,109,NA,NA,NA,NA,NA,1,0,BERB,Berberis microphylla,Bm,NA
Coihual no regenerado / 2,2,Coihual no regenerado,Coihual no regenerado,0,NA,NA,31,151,NA,NA,NA,NA,NA,0,6,BERB,Berberis microphylla,Bm,NA
Coihual regenerando / 4,4,Coihual regenerado,Coihual regenerando,0,1,1,1,315,2,35,16,NA,NA,1<2,0,BERB,Berberis microphylla,Bm,NA
Coihual regenerando / 4,4,Coihual regenerado,Coihual regenerando,0,5,1,5,319,2.5,95,17,NA,NA,3<4,0,BERB,Berberis microphylla,Bm,NA
Matorral / 2,2,Matorral,Matorral,0,14,0,14,382,3.5,100,12,NA,NA,1<2<5<6<,0,BERB,Berberis microphylla,Bm,NA
Matorral / 2,2,Matorral_extra,Matorral,1,NA,NA,43,491,NA,NA,NA,NA,NA,1<2,0,BERB,Berberis microphylla,Bm,NA
Matorral / 4,4,Matorral,Matorral,0,15,1,15,421,2,60,12,NA,NA,1<3,0,BERB,Berberis microphylla,Bm,NA
Matorral / 5,5,Matorral,Matorral,0,NA,NA,19,465,NA,NA,NA,NA,NA,2<3<4,0,BERB,Berberis microphylla,Bm,NA
Matorral / 5,5,Matorral,Matorral,0,NA,NA,21,467,NA,NA,NA,NA,NA,3,0,BERB,Berberis microphylla,Bm,NA
Bosque no quemado / 4,4,Bosque de coihue,Bosque no quemado,0,12,0,12,12,NA,NA,NA,NA,NA,1,0,BERBD,Berberis serratodentata,Bs,NA
Bosque no quemado / 4,4,Bosque de coihue,Bosque no quemado,0,28,0,28,28,NA,NA,NA,NA,NA,1<2,0,BERBD,Berberis serratodentata,Bs,NA
Bosque no quemado / 2,2,Bosque de coihue,Bosque no quemado,0,6,0,6,36,2,50,7,NA,12,1<2<,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 2,2,Bosque de coihue,Bosque no quemado,0,7,1,7,37,3,90,9,NA,9,1,1<10,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 2,2,Bosque de coihue,Bosque no quemado,0,8,0,8,38,2.5,85,5,NA,9,1<2<,16,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 2,2,Bosque de coihue,Bosque no quemado,0,9,1,9,39,1,70,5,NA,9,1<2<,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 2,2,Bosque de coihue,Bosque no quemado,0,17,1,17,47,1.5,80,3,NA,11,0,1,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 2,2,Bosque de coihue,Bosque no quemado,0,NA,NA,20,50,NA,NA,NA,NA,NA,1<2<3,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 2,2,Bosque de coihue,Bosque no quemado,0,23,1,23,53,1,40,1,NA,13//,1,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 2,2,Bosque de coihue,Bosque no quemado,0,24,0,24,54,1,80,7//,NA,5.5,1<2<5<,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 2,2,Bosque de coihue,Bosque no quemado,0,25,1,25,55,1.5,75,8,NA,11,1<2<5,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 2,2,Bosque de coihue,Bosque no quemado,0,NA,NA,26,56,NA,NA,NA,NA,NA,0,5,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 2,2,Bosque de coihue,Bosque no quemado,0,NA,NA,27,57,NA,NA,NA,NA,NA,0,16,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 2,2,Bosque de coihue_extra,Bosque no quemado,1,1,NA,1,118,NA,NA,NA,NA,NA,1,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 2,2,Bosque de coihue_extra,Bosque no quemado,1,2,NA,2,119,NA,NA,NA,NA,NA,2,3<4<7<8<9,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 2,2,Bosque de coihue_extra,Bosque no quemado,1,3,NA,3,120,NA,NA,NA,NA,NA,1,6,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 4,4,Bosque de coihue,Bosque no quemado,0,2,0,2,2,NA,NA,NA,NA,NA,2,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 4,4,Bosque de coihue,Bosque no quemado,0,NA,NA,4,4,NA,NA,NA,NA,NA,6<7<8<9<10<,6,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 4,4,Bosque de coihue,Bosque no quemado,0,NA,NA,5,5,NA,NA,NA,NA,NA,5<6,8<2,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 4,4,Bosque de coihue,Bosque no quemado,0,NA,NA,7,7,NA,NA,NA,NA,NA,1<2,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 4,4,Bosque de coihue,Bosque no quemado,0,8,0,8,8,NA,NA,NA,NA,NA,0,2,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 4,4,Bosque de coihue,Bosque no quemado,0,NA,NA,13,13,NA,NA,NA,NA,NA,4<6<,10<9<3<4<5<6<7<8<,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 4,4,Bosque de coihue,Bosque no quemado,0,NA,NA,14,14,NA,NA,NA,NA,NA,1<2<3<,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 4,4,Bosque de coihue,Bosque no quemado,0,15,1,15,15,3,90,5.5//,NA,9,2<3<4<5<6<7<,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 4,4,Bosque de coihue,Bosque no quemado,0,16,0,16,16,NA,NA,NA,NA,NA,1,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 4,4,Bosque de coihue,Bosque no quemado,0,NA,NA,17,17,NA,NA,NA,NA,NA,9,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 4,4,Bosque de coihue,Bosque no quemado,0,18,0,18,18,NA,NA,NA,NA,NA,6<7<8,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 4,4,Bosque de coihue,Bosque no quemado,0,20,0,20,20,NA,NA,NA,NA,NA,1,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 4,4,Bosque de coihue,Bosque no quemado,0,21,1,21,21,1,65,11,NA,13,9<,1<2<6<7<4,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 4,4,Bosque de coihue,Bosque no quemado,0,22,0,22,22,NA,NA,NA,NA,NA,10<4<5<6<7<8<9,1<6<7<8,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,NA,NA,1,58,NA,NA,NA,NA,NA,0,3<11,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,2,NA,2,59,NA,NA,NA,NA,NA,0,2<3<5,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,4,NA,4,61,NA,NA,NA,NA,NA,0,1<4<,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,5,NA,5,62,2,95,0,14,10,0,1<3<,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,6,NA,6,63,NA,NA,NA,NA,NA,0,1<3,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,7,NA,7,64,2.5,98,6,14,6,0,2,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,8,NA,8,65,NA,NA,14,NA,4,0,2<3<5<9<10<11<12<13<,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,9,NA,9,66,1.5,95,15,16,5.5,0,2<16<15<,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,NA,NA,10,67,NA,NA,NA,NA,NA,0,11<15<,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,11,NA,11,68,3,100,0,9,3,0,1<2,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,NA,NA,13,70,NA,NA,NA,NA,NA,0,1<2,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,14,NA,14,71,NA,NA,NA,NA,NA,0,1,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,16,NA,16,73,NA,NA,NA,NA,NA,0,8,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,NA,NA,17,74,NA,NA,NA,NA,NA,1,12<,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,18,NA,18,75,NA,NA,NA,NA,NA,2<3<1<,2<,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,NA,NA,19,76,NA,NA,NA,NA,NA,1<2,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,20,NA,20,77,NA,NA,NA,NA,NA,1,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,NA,NA,21,78,NA,NA,NA,NA,NA,4<5<6<7<8,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,NA,NA,22,79,NA,NA,NA,NA,NA,9<10<11<12<13<14<15,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,NA,NA,23,80,NA,NA,NA,NA,NA,7<8,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,25,NA,25,82,1.5,90,5//,NA,6.5,10<11,4,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,26,NA,26,83,NA,NA,NA,NA,NA,7<8<9<10<11<12,2<10,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 5,5,Bosque de coihue,Bosque no quemado,0,NA,NA,29,86,NA,NA,NA,NA,NA,0,2,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,NA,NA,1,88,NA,NA,NA,NA,NA,14,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,NA,NA,2,89,NA,NA,NA,NA,NA,9<10<11,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,7,NA,7,94,2,98,12,NA,6,4<5<7<8<9<10,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,8,NA,8,95,NA,NA,NA,NA,NA,3<6<10<11<12<13<15<16,6<7<4<5<,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,NA,NA,9,96,NA,NA,NA,NA,NA,2<3<4<5<6<7,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,NA,NA,10,97,NA,NA,NA,NA,NA,6<7<8<9<10<11<,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,13,NA,13,100,3,75,15,NA,6,1<3<8<9,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,14,NA,14,101,NA,NA,NA,NA,NA,0,1<2,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,15,NA,15,102,2.5,90,4,NA,11//,0,1<2,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,16,NA,16,103,NA,NA,NA,NA,NA,0,1,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,17,NA,17,104,1,95,7,NA,4.5,1,1,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,18,NA,18,105,NA,NA,NA,NA,NA,1,1,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,19,NA,19,106,1.5,95,15,NA,10,1,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,21,NA,21,108,1,80,6,16,11//,0,5<6<7<8<,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,NA,NA,22,109,NA,NA,NA,NA,NA,6<7<9<10<12<13<14,9<8<7<,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,23,NA,23,110,2,98,16,NA,7,0,1<2<3,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,NA,NA,24,111,NA,NA,NA,NA,NA,0,2,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,NA,NA,25,112,NA,NA,NA,NA,NA,2<3,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,NA,NA,26,113,NA,NA,NA,NA,NA,2,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,NA,NA,28,115,NA,NA,NA,NA,NA,9<12,0,CA,Chusquea culeou,Cc,NA
Bosque no quemado / 6,6,Bosque de coihue,Bosque no quemado,0,30,NA,30,117,NA,NA,NA,NA,NA,7<8<1,1,CA,Chusquea culeou,Cc,NA
Coihual regenerando / 2,2,Coihual regenerado,Coihual regenerando,0,NA,NA,11,298,NA,NA,NA,NA,NA,2<3,1<2<3<4<,CA,Chusquea culeou,Cc,NA
Coihual regenerando / 2,2,Coihual regenerado,Coihual regenerando,0,NA,NA,12,299,NA,NA,NA,NA,NA,8<9<10,0,CA,Chusquea culeou,Cc,NA
Coihual regenerando / 2,2,Coihual regenerado,Coihual regenerando,0,NA,NA,14,301,NA,NA,NA,NA,NA,3<4<5<6,0,CA,Chusquea culeou,Cc,NA
Coihual regenerando / 2,2,Coihual regenerado,Coihual regenerando,0,NA,NA,15,302,NA,NA,NA,NA,NA,0,4<5,CA,Chusquea culeou,Cc,NA
Coihual regenerando / 2,2,Coihual regenerado,Coihual regenerando,0,NA,NA,18,305,NA,NA,NA,NA,NA,3<,0,CA,Chusquea culeou,Cc,NA
Coihual regenerando / 4,4,Coihual regenerado,Coihual regenerando,0,8,0,8,322,NA,NA,NA,NA,NA,0,1,CA,Chusquea culeou,Cc,NA
Coihual regenerando / 4,4,Coihual regenerado,Coihual regenerando,0,31,1,31,345,2,80,15,NA,NA,1,0,CA,Chusquea culeou,Cc,NA
Coihual regenerando / 6,6,Bosque de coihue regenerado,Coihual regenerando,0,NA,NA,6,253,NA,NA,NA,NA,NA,<8<9<10,0,CA,Chusquea culeou,Cc,NA
Coihual regenerando / 6,6,Bosque de coihue regenerado,Coihual regenerando,0,9,NA,9,256,2.5,15,11,NA,NA,3<4<5<6<7,0,CA,Chusquea culeou,Cc,NA
Coihual regenerando / 6,6,Bosque de coihue regenerado,Coihual regenerando,0,NA,NA,10,257,NA,NA,NA,NA,NA,7<8,2<5,CA,Chusquea culeou,Cc,NA
Coihual regenerando / 6,6,Bosque de coihue regenerado,Coihual regenerando,0,NA,NA,11,258,NA,NA,NA,NA,NA,3<4<5<6,0,CA,Chusquea culeou,Cc,NA
Coihual regenerando / 6,6,Bosque de coihue regenerado,Coihual regenerando,0,13,NA,13,260,2,70,17,NA,NA,0,4<,CA,Chusquea culeou,Cc,NA
Coihual regenerando / 6,6,Bosque de coihue regenerado,Coihual regenerando,0,14,NA,14,261,NA,NA,NA,NA,NA,3<4<,0,CA,Chusquea culeou,Cc,NA
Coihual regenerando / 6,6,Bosque de coihue regenerado,Coihual regenerando,0,15,NA,15,262,0.5,5,17,NA,NA,12,2,CA,Chusquea culeou,Cc,NA
Coihual regenerando / 6,6,Bosque de coihue regenerado,Coihual regenerando,0,NA,NA,16,263,NA,NA,NA,NA,NA,0,1,CA,Chusquea culeou,Cc,NA
